PD9B1,SD10A,1.5
PD10D,SD10A,1.5
PD15,SD10A,1.5
SP11A1,SD10A,1.5
PD16E,SD10A,1.5
PD37A,SD10A,1.5
PD50A,SD10A,1.5
PD62A,SD10A,1.5
PD65A,SD10A,1.5
PD7B,SD10A,1.5
PD9B,SD10A,1.5
PD21,SD10A,1.5
SP3A1,SD10A,1.5
SP3C1,SD10A,1.5
SP5A1,SD10A,1.5
SP5C1,SD10A,1.5
SP7A1,SD10A,1.5
SP7C1,SD10A,1.5
SP9A1,SD10A,1.5
PD21B1,SD10A,1.5
IED33A,SD10A,1.5
IED29A,SD10A,1.5
SD3A,SD10A,1.5
SD2A,SD10A,1.5
M6C,SD10A,1.5
M6A,SD10A,1.5
SR78,SD10A,1.5
SR87,SD10A,1.5
SR89,SD10A,1.5
SR91,SD10A,1.5
SR100,SD10A,1.5
SR102,SD10A,1.5
SU1,SD10A,1.5
SU2,SD10A,1.5
SU15A,SD10A,1.5
SU15B,SD10A,1.5
SU17,SD10A,1.5
SR74,SD10A,1.5
SU30,SD10A,1.5
SU45B,SD10A,1.5
SU45C,SD10A,1.5
D37B1,SD10A,1.5
SU68B1,SD10A,1.5
SU83A,SD10A,1.5
SU68A,SD10A,1.5
SU70,SD10A,1.5
SU83,SD10A,1.5
D22C,SD10A,1.5
SU95A,SD10A,1.5
D87A,SD10A,1.5
SU102A,SD10A,1.5
SU119_1,SD10A,1.5
SU119_3,SD10A,1.5
SU45A,SD10A,1.5
SR68,SD10A,1.5
SR76,SD10A,1.5
SR59,SD10A,1.5
SD4A,SD10A,1.5
SD5A,SD10A,1.5
SD8,SD15A,5.5
SD10A,SD15A,5.5
SD15A,SD16A,9.0
SD15A,SD17A,9.0
SD15A,SD18A,9.0
SD16A,SD21,11.5
SD17A,SD21,11.5
SD18A,SD21,11.5
SD21,SD23A,13.0
SD21,SR5B,13.0
SD21,SR7,13.0
SD23A,SR66,14.5
SR5B,SR66,14.5
SR7,SR66,14.5
SD23A,SR10A,14.5
SR5B,SR10A,14.5
SR7,SR10A,14.5
SD23A,SR11A,14.5
SR5B,SR11A,14.5
SR7,SR11A,14.5
SR66,SR8A,15.5
SR10A,SR8A,15.5
SR11A,SR8A,15.5
SR8A,D37B,17.0
SR8A,SR57,17.0
SR8A,SR12A,17.0
D37B,SR48,18.5
SR57,SR48,18.5
SR12A,SR48,18.5
SR48,SR42,19.5
SR42,SR40,21.5
SR42,SR50,21.5
SR42,M18A,21.5
SR40,M18B1,25.5
SR50,M18B1,25.5
M18A,M18B1,25.5
M18B1,SR21,29.0
M18B1,SR19,29.0
M18B1,SR31,29.0
M18B1,M45A,29.0
M18B1,CH30_1A,29.0
SR21,CH30_1B,30.5
SR19,CH30_1B,30.5
SR31,CH30_1B,30.5
M45A,CH30_1B,30.5
CH30_1A,CH30_1B,30.5
CH30_1B,PR2,34.5
CH30_1B,SU87A,34.5
PR2,SU87B,39.0
SU87A,SU87B,39.0
PR2,MR1_2,39.0
SU87A,MR1_2,39.0
PR2,CD9A,39.0
SU87A,CD9A,39.0
PR2,EM1,39.0
SU87A,EM1,39.0
PR2,DM_EM1,39.0
SU87A,DM_EM1,39.0
PR2,CC3C,39.0
SU87A,CC3C,39.0
PR2,CN3,39.0
SU87A,CN3,39.0
PR2,MR19,39.0
SU87A,MR19,39.0
PR2,DM_MR19,39.0
SU87A,DM_MR19,39.0
PR2,PR4C,39.0
SU87A,PR4C,39.0
SU87B,PR4A,41.0
MR1_2,PR4A,41.0
CD9A,PR4A,41.0
EM1,PR4A,41.0
DM_EM1,PR4A,41.0
CC3C,PR4A,41.0
CN3,PR4A,41.0
MR19,PR4A,41.0
DM_MR19,PR4A,41.0
PR4C,PR4A,41.0
SU87B,SU45D,41.0
MR1_2,SU45D,41.0
CD9A,SU45D,41.0
EM1,SU45D,41.0
DM_EM1,SU45D,41.0
CC3C,SU45D,41.0
CN3,SU45D,41.0
MR19,SU45D,41.0
DM_MR19,SU45D,41.0
PR4C,SU45D,41.0
SU87B,CC3E,41.0
MR1_2,CC3E,41.0
CD9A,CC3E,41.0
EM1,CC3E,41.0
DM_EM1,CC3E,41.0
CC3C,CC3E,41.0
CN3,CC3E,41.0
MR19,CC3E,41.0
DM_MR19,CC3E,41.0
PR4C,CC3E,41.0
SU87B,G26A,41.0
MR1_2,G26A,41.0
CD9A,G26A,41.0
EM1,G26A,41.0
DM_EM1,G26A,41.0
CC3C,G26A,41.0
CN3,G26A,41.0
MR19,G26A,41.0
DM_MR19,G26A,41.0
PR4C,G26A,41.0
PR4A,SR27,42.5
SU45D,SR27,42.5
CC3E,SR27,42.5
G26A,SR27,42.5
PR4A,D37A,42.5
SU45D,D37A,42.5
CC3E,D37A,42.5
G26A,D37A,42.5
PR4A,D59A,42.5
SU45D,D59A,42.5
CC3E,D59A,42.5
G26A,D59A,42.5
PR4A,D22A,42.5
SU45D,D22A,42.5
CC3E,D22A,42.5
G26A,D22A,42.5
PR4A,G44A,42.5
SU45D,G44A,42.5
CC3E,G44A,42.5
G26A,G44A,42.5
PR4A,D72A,42.5
SU45D,D72A,42.5
CC3E,D72A,42.5
G26A,D72A,42.5
